age,workclass,fnlwgt,education,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,capital,income
20,Private,164775,5th-6th,Never-married,Handlers-cleaners,Other-relative,White,Male,40,Guatemala,0,<=50K
27,Private,126060,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,0,<=50K
58,State-gov,138130,HS-grad,Never-married,Tech-support,Own-child,Black,Female,40,United-States,0,<=50K
20,Local-gov,188950,Some-college,Never-married,Protective-serv,Own-child,White,Male,25,United-States,0,<=50K
26,Private,151551,Some-college,Separated,Sales,Own-child,Amer-Indian-Eskimo,Male,48,United-States,2597,<=50K
52,Local-gov,230095,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,0,<=50K
20,Private,34242,Some-college,Never-married,Other-service,Own-child,White,Male,20,United-States,0,<=50K
43,Private,151809,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,30,United-States,0,<=50K
29,Private,271710,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,0,>50K
30,Private,210906,HS-grad,Married-civ-spouse,Exec-managerial,Other-relative,White,Female,40,United-States,0,<=50K
32,Private,203674,Assoc-acdm,Divorced,Prof-specialty,Unmarried,White,Female,36,United-States,-880,<=50K
47,Private,234994,7th-8th,Separated,Craft-repair,Unmarried,White,Male,40,Puerto-Rico,0,<=50K
30,Private,180168,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,38,United-States,0,<=50K
53,Self-emp-not-inc,237729,HS-grad,Married-civ-spouse,Prof-specialty,Wife,White,Female,65,United-States,3411,<=50K
46,Private,229737,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,India,0,>50K
24,Private,176321,Some-college,Never-married,Adm-clerical,Unmarried,White,Female,40,United-States,0,<=50K
47,Self-emp-not-inc,267879,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,50,United-States,3103,>50K
