Unnamed: 0,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1646,38,technician,single,tertiary,no,2273,yes,no,cellular,17,apr,222,1,-1,0,unknown,no
1396,32,blue-collar,married,secondary,no,687,yes,no,unknown,9,may,61,1,-1,0,unknown,no
1079,50,admin.,divorced,secondary,no,202,no,yes,cellular,17,nov,148,1,-1,0,unknown,no
3764,31,unemployed,married,secondary,no,24,yes,no,cellular,19,nov,631,1,-1,0,unknown,no
2589,45,entrepreneur,divorced,tertiary,no,1273,yes,yes,unknown,11,jun,197,3,-1,0,unknown,no
3376,42,blue-collar,single,secondary,no,382,yes,no,cellular,13,may,294,1,-1,0,unknown,no
3338,34,management,married,secondary,no,293,yes,no,unknown,21,may,162,3,-1,0,unknown,no
2024,42,self-employed,divorced,tertiary,no,216,yes,no,cellular,8,may,144,3,-1,0,unknown,no
1249,60,blue-collar,married,primary,no,493,no,no,cellular,18,aug,671,4,-1,0,unknown,yes
701,40,technician,single,tertiary,no,445,yes,no,cellular,24,jul,631,1,-1,0,unknown,no
2909,39,admin.,married,secondary,no,406,no,no,cellular,30,jul,253,5,-1,0,unknown,no
3003,33,management,single,tertiary,no,23,no,no,cellular,20,aug,216,3,-1,0,unknown,no
1536,32,technician,single,secondary,no,2979,no,no,cellular,25,may,156,1,-1,0,unknown,no
2820,34,management,married,tertiary,no,1116,yes,no,cellular,25,jul,53,5,-1,0,unknown,no
3896,36,blue-collar,married,primary,no,1177,no,no,cellular,15,apr,330,1,311,4,success,yes
482,40,technician,married,secondary,no,694,yes,no,cellular,4,feb,97,4,196,5,failure,no
3284,57,admin.,married,secondary,no,367,no,no,telephone,16,nov,107,2,-1,0,unknown,no
1410,49,technician,divorced,secondary,no,265,yes,no,unknown,12,may,274,6,-1,0,unknown,no
3179,58,technician,married,primary,no,4015,no,no,unknown,20,jun,106,3,-1,0,unknown,no
3221,31,technician,married,secondary,no,0,no,yes,cellular,19,aug,144,4,-1,0,unknown,no
